Designator,Mid X,Mid Y,Rotation,Layer
C1,85.35,-36.7,0.0,top
C10,72.855113,-85.0,180.0,bottom
C11,89.314216,-113.75,0.0,bottom
C12,73.0,-50.0,0.0,top
C13,67.555113,-130.2,180.0,bottom
C14,95.4,-120.4,180.0,bottom
C2,72.0,-63.5,180.0,bottom
C3,74.83,-79.32,90.0,top
C4,81.73,-79.52,90.0,top
C5,88.53,-79.42,90.0,top
C6,94.93,-79.22,90.0,top
C7,66.097349,-120.75,0.0,bottom
C8,86.85,-107.1,0.0,top
C9,90.75,-96.1,0.0,top
J1,66.1,-64.1,0.0,top
J2,82.235,-116.745,180.0,bottom
Q1,71.5,-70.75,90.0,top
Q2,76.43,-84.42,0.0,top
Q3,83.33,-84.22,0.0,top
Q4,89.83,-84.22,0.0,top
Q5,76.53,-69.62,0.0,top
Q6,83.53,-69.62,0.0,top
Q7,90.13,-69.52,0.0,top
R1,68.25,-45.53,-90.0,top
R10,77.85,-89.9,-90.0,top
R11,68.55,-97.345,90.0,top
R12,73.2,-89.855,-90.0,top
R13,65.25,-92.0,90.0,top
R14,68.55,-89.8,-90.0,top
R15,94.55,-103.045,90.0,top
R16,91.05,-103.045,90.0,top
R17,93.0,-46.135,90.0,top
R18,69.75,-51.275,-90.0,top
R19,87.15,-91.945,90.0,top
R2,87.25,-46.545,90.0,top
R20,91.8,-89.91,-90.0,top
R21,74.5,-54.5,0.0,top
R22,96.5,-46.135,90.0,top
R23,83.75,-44.5,-90.0,top
R24,65.0,-47.5,90.0,top
R25,71.755,-130.7,0.0,top
R26,90.0,-130.6,180.0,top
R3,68.5,-56.705,-90.0,top
R4,82.5,-89.705,-90.0,top
R5,77.75,-62.205,-90.0,top
R6,84.75,-62.16,-90.0,top
R7,91.4,-62.205,-90.0,top
R8,74.455,-58.0,0.0,top
R9,65.0,-97.32,90.0,top
RV1,66.0,-35.9,90.0,bottom
RV2,96.25,-126.75,90.0,bottom
RV3,66.75,-102.75,90.0,bottom
U1,79.5,-46.0,180.0,top
U2,72.125,-103.025,90.0,top
U3,81.5,-57.5,90.0,top
